accession	tissues	assay_name
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample13_S1R9_072116_Fr03
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample24_S2R8_042216_Fr11
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample18_S1R16_072616_Fr10
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample11_S1R2_031516_Fr04
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample16_S1R14_050716_Fr03
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample06_S1R12_021016_Fr08
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample7_S2R25_070716_Fr5
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample06_S1R12_021016_Fr11
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample24_S2R8_042216_Fr10
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample8_S2R26_012016_Fr03
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample22_S2R5_041116_Fr03
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample07_S1R20_021616_Fr02
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample25_S2R10_042616_Fr01
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample01_121115_Fr08
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample25_S2R10_042616_Fr10
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample9_S2R28_020216_Fr02
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	Instrument1_sample14_S1R10_042116_Fr10
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample20_S2R23_061716_Fr05
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample2_120815_Fr06
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample6_S2R13_122615_Fr06
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample5_S2R11_121815_Fr04
PXD016999	['Artery','Spleen','Skeletal muscle','Colon','Heart','Ovary','Saliva','Skin','Liver','Lung','Stomach','Brain','Small intestine','Esophagus','Thyroid gland','Testis']	SecondInstrument_Sample11_S2R16_062016_Fr02
