accession	tissues	assay_name
PXD005978	"[""blood""]"	b1370p42S09_TP_F9135
PXD005978	"[""blood""]"	b1370p30_S2_F3347_Basal
PXD005978	"[""blood""]"	b1370p42S25_TP_T8546
PXD005978	"[""blood""]"	b1370p30_S19_T0700_Basal
PXD005978	"[""blood""]"	b1370p30_S42_T4628_Basal_R
PXD005978	"[""blood""]"	b1370p30_S44_T5282_Basal
PXD005978	"[""blood""]"	b1370p30_S17_F9136_Basal
PXD005978	"[""blood""]"	b1370p30_S39_R7919_Basal
PXD005978	"[""blood""]"	b1370p30_S34_X3932_Basal
PXD005978	"[""blood""]"	b1370p42S21R_TP_R8774
PXD005978	"[""blood""]"	b1370p30_S6_R1519_Basal_R
PXD005978	"[""blood""]"	b1370p42S08_TP_F8903
PXD005978	"[""blood""]"	b1370p30_S35_X5936_Basal
PXD005978	"[""blood""]"	b1370p30_S12_T6591_basal
PXD005978	"[""blood""]"	b1370p30_S22_X7790_Basal
PXD005978	"[""blood""]"	b1370p42S12_TP_R5657
PXD005978	"[""blood""]"	b1370p30_S27_F6962_Basal
PXD005978	"[""blood""]"	b1370p42S04_TP_F3892
PXD005978	"[""blood""]"	b1370p30_S10_T5062_Basal
PXD005978	"[""blood""]"	b1370p30_S24_X9994_Basal_R
PXD005978	"[""blood""]"	b1370p30_S5_F9135_Basal_R
PXD005978	"[""blood""]"	b1370p30_S1_F1294_Basal_R
PXD005978	"[""blood""]"	b1370p30_S45_X3720_Basal
PXD005978	"[""blood""]"	b1370p30_S41_R8804_Basal
PXD005978	"[""blood""]"	b1370p30_S41_R8804_Basal_R
PXD005978	"[""blood""]"	b1370p30_S35_X5936_Basal_R
PXD005978	"[""blood""]"	b1370p30_S23_X7910_Basal_R
PXD005978	"[""blood""]"	b1370p30_S42_T4628_Basal
PXD005978	"[""blood""]"	b1370p30_S9_T2100_Basal_R
PXD005978	"[""blood""]"	b1370p30_S33_T8546_Basal_R
PXD005978	"[""blood""]"	b1370p42S28_TP_X7710
PXD005978	"[""blood""]"	b1370p30_S30_T1820_Basal_R
PXD005978	"[""blood""]"	b1370p42S14R_TP_T1820
PXD005978	"[""blood""]"	b1370p30_S43_T4954_Basal
PXD005978	"[""blood""]"	b1370p42S02_TP_F2601
PXD005978	"[""blood""]"	b1370p30_S14_F2601_Basal
PXD005978	"[""blood""]"	b1370p42S24_TP_T6591
PXD005978	"[""blood""]"	b1370p30_S45_X3720_Basal_R
PXD005978	"[""blood""]"	b1370p30_S36_X8719_basal
PXD005978	"[""blood""]"	b1370p42S03_TP_F2673
PXD005978	"[""blood""]"	b1370p42S03R_TP_F2673
PXD005978	"[""blood""]"	b1370p42S16_TP_T2413
PXD005978	"[""blood""]"	b1370p30_S26_F2673_Basal
PXD005978	"[""blood""]"	b1370p30_S30_T1820_Basal
PXD005978	"[""blood""]"	b1370p30_S2_F3347_Basal_R
PXD005978	"[""blood""]"	b1370p42S17_TP_T4070
PXD005978	"[""blood""]"	b1370p42S06_TP_F6962
PXD005978	"[""blood""]"	b1370p30_S44_T5282_Basal_R
PXD005978	"[""blood""]"	b1370p42S19_TP_T5177
PXD005978	"[""blood""]"	b1370p42S15_TP_T2100
PXD005978	"[""blood""]"	b1370p42S11_TP_R3762
PXD005978	"[""blood""]"	b1370p30_S17_F9136_Basal_R
PXD005978	"[""blood""]"	b1370p42S25R_TP_T8546
PXD005978	"[""blood""]"	b1370p42S26R_TP_T8724
PXD005978	"[""blood""]"	b1370p30_S13_F0455_Basal
PXD005978	"[""blood""]"	b1370p30_S18_R3762_Basal_R
PXD005978	"[""blood""]"	b1370p30_S24_X9994_basal
PXD005978	"[""blood""]"	b1370p30_S8_R9150_Basal_R
PXD005978	"[""blood""]"	b1370p30_S39_R7919_Basal_R
PXD005978	"[""blood""]"	b1370p42S28R_TP_X7710
PXD005978	"[""blood""]"	b1370p30_S20_T4070_Basal
PXD005978	"[""blood""]"	b1370p30_S3_F3892_Basal
PXD005978	"[""blood""]"	b1370p30_S21_T8724_Basal
PXD005978	"[""blood""]"	b1370p42S17R_TP_T4070
PXD005978	"[""blood""]"	b1370p30_S25_F0763_Basal
PXD005978	"[""blood""]"	b1370p30_S21_T8724_Basal_R
PXD005978	"[""blood""]"	b1370p42S12R_TP_R5657
PXD005978	"[""blood""]"	b1370p30_S10_T5062_Basal_R
PXD005978	"[""blood""]"	b1370p30_S1_F1294_Basal
PXD005978	"[""blood""]"	b1370p42S22R_TP_R9150
PXD005978	"[""blood""]"	b1370p30_S11_T5177_Basal_R
PXD005978	"[""blood""]"	b1370p30_S7_R3221_Basal
PXD005978	"[""blood""]"	b1370p30_S18_R3762_Basal
PXD005978	"[""blood""]"	b1370p30_S6_R1519_Basal
PXD005978	"[""blood""]"	b1370p42S27R_TP_X3720
PXD005978	"[""blood""]"	b1370p30_S20_T4070_Basal_R
PXD005978	"[""blood""]"	b1370p30_S31_T2069_Basal_R
PXD005978	"[""blood""]"	b1370p30_S11_T5177_Basal
PXD005978	"[""blood""]"	b1370p42S06R_TP_F6962
PXD005978	"[""blood""]"	b1370p42S15R_TP_T2100
PXD005978	"[""blood""]"	b1370p42S07_TP_F8011
PXD005978	"[""blood""]"	b1370p30_S19_T0700_Basal_R
PXD005978	"[""blood""]"	b1370p30_S38_R5657_Basal_R
PXD005978	"[""blood""]"	b1370p30_S5_F9135_Basal
PXD005978	"[""blood""]"	b1370p30_S27_F6962_Basal_R
PXD005978	"[""blood""]"	b1370p30_S32_T2413_Basal_R
PXD005978	"[""blood""]"	b1370p42S18R_TP_T4954
PXD005978	"[""blood""]"	b1370p42S20_TP_T5282
PXD005978	"[""blood""]"	b1370p30_S3_F3892_Basal_R
PXD005978	"[""blood""]"	b1370p42S29R_TP_X7910
PXD005978	"[""blood""]"	b1370p30_S7_R3221_Basal_R
PXD005978	"[""blood""]"	b1370p30_S40_R8774_Basal_R
PXD005978	"[""blood""]"	b1370p42S23_TP_T5062
PXD005978	"[""blood""]"	b1370p30_S37_F0461_Basal
PXD005978	"[""blood""]"	b1370p30_S28_F8903_Basal
PXD005978	"[""blood""]"	b1370p30_S33_T8546_Basal
PXD005978	"[""blood""]"	b1370p42S01_TP_F0763
PXD005978	"[""blood""]"	b1370p42S07R_TP_F8011
PXD005978	"[""blood""]"	b1370p30_S13_F0455_Basal_R
PXD005978	"[""blood""]"	b1370p42S09R_TP_F9135
