model;fold;micro_f1;macro_f1;weighted_f1;selector
SVC;8;0.9803921568627452;0.9746031746031746;0.977591036414566;SVC
RandomForestClassifier;8;0.9803921568627452;0.9746031746031746;0.977591036414566;SVC
LGBMClassifier;8;0.9607843137254902;0.96;0.9607843137254902;SVC
LogisticRegression;9;0.9411764705882352;0.9296866096866097;0.9417127534774596;anova
SVC;9;1.0;1.0;1.0;anova
RandomForestClassifier;9;1.0;1.0;1.0;anova
LGBMClassifier;9;1.0;1.0;1.0;anova
LogisticRegression;9;0.9215686274509804;0.9209337068160596;0.9211402207942;MI
SVC;9;1.0;1.0;1.0;MI
RandomForestClassifier;9;1.0;1.0;1.0;MI
LGBMClassifier;9;0.9215686274509804;0.9443893796834976;0.9204095916898686;MI
LogisticRegression;9;0.9803921568627452;0.9644444444444444;0.9790849673202616;LR
SVC;9;1.0;1.0;1.0;LR
RandomForestClassifier;9;0.9803921568627452;0.9644444444444444;0.9790849673202616;LR
LGBMClassifier;9;1.0;1.0;1.0;LR
LogisticRegression;9;1.0;1.0;1.0;RF
SVC;9;1.0;1.0;1.0;RF
RandomForestClassifier;9;1.0;1.0;1.0;RF
LGBMClassifier;9;0.9607843137254902;0.9753376906318082;0.9611431500704856;RF
LogisticRegression;9;1.0;1.0;1.0;SVC
SVC;9;1.0;1.0;1.0;SVC
RandomForestClassifier;9;1.0;1.0;1.0;SVC
LGBMClassifier;9;1.0;1.0;1.0;SVC
