model;fold;micro_f1;macro_f1;weighted_f1;cm;Imputation;Normalization;PXD
SVC;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA;NSAF;PXD002842
RandomForestClassifier;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA;NSAF;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [3 1 0]]";PCA;NSAF;PXD002842
LogisticRegression;2;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [2 1 1 0]]";PCA;ComBat;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA;ComBat;PXD002842
RandomForestClassifier;2;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [1 3 0]]";PCA;ComBat;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA;ComBat;PXD002842
LogisticRegression;2;0.75;0.4285714285714285;0.8571428571428571;"[[0 0]
 [1 3]]";PCA;Quantile;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA;Quantile;PXD002842
RandomForestClassifier;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA;Quantile;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 0 0]
 [1 0 3]
 [0 0 0]]";PCA;Quantile;PXD002842
LogisticRegression;2;1.0;1.0;1.0;[[4]];PCA;Median Norm;PXD002842
SVC;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA;Median Norm;PXD002842
RandomForestClassifier;2;0.0;0.0;0.0;"[[0 0]
 [4 0]]";PCA;Median Norm;PXD002842
LGBMClassifier;2;0.0;0.0;0.0;"[[0 0 0]
 [2 0 2]
 [0 0 0]]";PCA;Median Norm;PXD002842
LogisticRegression;3;0.0;0.0;0.0;"[[0 0 0 0]
 [0 0 0 0]
 [1 2 0 1]
 [0 0 0 0]]";KNN+LOD;NSAF;PXD006035
SVC;3;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [1 3 0]]";KNN+LOD;NSAF;PXD006035
RandomForestClassifier;3;0.0;0.0;0.0;"[[0 0 0]
 [0 0 0]
 [2 2 0]]";KNN+LOD;NSAF;PXD006035
